Codigo_CUOC,Nombre_Ocupacion,Nivel_Competencia
21441,Ingenieros mecánicos / Ingenieras mecánicas,4
21442,Ingenieros navales / Ingenieras navales,4
21443,Ingenieros aeronáuticos / Ingenieras aeronáuticas,4
21450,Ingenieros químicos / Ingenieras químicas,4
21461,Ingenieros de minas / Ingenieras de minas,4
21462,Ingenieros metalúrgicos / Ingenieras metalúrgicas,4
21463,Ingenieros de petróleo y gas / Ingenieras de petróleo y gas,4
21491,Ingenieros de materiales / Ingenieras de materiales,4
21492,Ingenieros biomédicos y biológicos / Ingenieras biomédicas y biológicas,4
21499,Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones,4
21510,Ingenieros electricistas / Ingenieras electricistas,4
21521,Ingenieros electrónicos / Ingenieras electrónicas,4
21522,Ingenieros de automatización e instrumentación / Ingenieras de automatización e instrumentación,4
21531,Ingenieros de telecomunicaciones / Ingenieras de telecomunicaciones,4
21532,Ingenieros y productores de audio y sonido / Ingenieras y productoras de audio y sonido,4
21610,Arquitectos / Arquitectas,4
21620,Arquitectos paisajistas / Arquitectas paisajistas,4
21631,Diseñadores industriales y de productos / Diseñadoras industriales y de productos,4
21632,Diseñadores de vestuario y moda / Diseñadoras de vestuario y moda,4
21633,Diseñadores de espacios / Diseñadoras de espacios,4
21634,Diseñadores de servicios / Diseñadoras de servicios,4
21635,Diseñadores de iluminación / Diseñadoras de iluminación,4
21640,"Planificadores urbanos, regionales y de tránsito / Planificadoras urbanas, regionales y de tránsito",4
21650,Cartógrafos e ingenieros topográficos y catastrales / Cartógrafas e ingenieras topográficas y catastrales,4
21661,Diseñadores gráficos / Diseñadoras gráficas,4
21662,Diseñadores de imágenes computarizadas e interacción digital / Diseñadoras de imágenes computarizadas e interacción digital,4
22110,Médicos generales / Médicas generales,4
22120,Médicos especialistas / Médicas especialistas,4
22210,Profesionales de enfermería,4
22300,Profesionales de medicina tradicional y alternativa,4
22401,Paramédicos / Paramédicas,4
22402,Instrumentadores quirúrgicos / Instrumentadoras quirúrgicas,4
22500,Veterinarios / Veterinarias,4
22611,Odontólogos generales / Odontólogas generales,4
22612,Odontólogos especialistas / Odontólogas especialistas,4
22620,Farmacéuticos y químicos farmacéuticos / Farmacéuticas y químicas farmacéuticas,4
22630,Profesionales de la salud y la higiene laboral y ambiental,4
22640,Fisioterapeutas,4
22650,Nutricionistas dietistas,4
22660,Fonoaudiólogos y terapeutas del lenguaje / Fonoaudiólogas y terapeutas del lenguaje,4
22670,Optómetras,4
22691,Terapeutas ocupacionales,4
22692,Profesionales en terapia respiratoria,4
22693,Otros profesionales de terapia / Otras profesionales de terapia,4
22699,Profesionales de la salud no clasificados en otras ocupaciones,4
23100,Profesores de instituciones de educación superior / Profesoras de instituciones de educación superior,4
23200,Profesores de formación profesional / Profesoras de formación profesional,4
23300,Profesores de educación secundaria / Profesoras de educación secundaria,4
23410,Profesores de educación básica primaria / Profesoras de educación básica primaria,4
23420,Profesores de primera infancia y preescolar / Profesoras de primera infancia y preescolar,4
23510,Especialistas en métodos y procesos pedagógicos,4
23521,Profesores e instructores de educación especial e inclusiva / Profesoras e instructoras de educación especial e inclusiva,4
23522,Pedagogos reeducadores / Pedagogas reeducadoras,4
23530,Otros profesores de idiomas / Otras profesoras de idiomas,4
23540,Otros profesores de música / Otras profesoras de música,4
23550,Otros profesores de artes / Otras profesoras de artes,4
23560,Instructores de tecnología de la información / Instructoras de tecnología de la información,4
23591,Orientadores educativos / Orientadoras educativas,4
23599,Otros profesionales de la educación no clasificados en otras ocupaciones / Otras profesionales de la educación no clasificados en otras ocupaciones,4
24111,Contadores / Contadoras,4
24112,Auditores financieros y contables / Auditoras financieras y contables,4
24120,Asesores financieros y de inversiones / Asesoras financieras y de inversiones,4
24130,Analistas financieros / Analistas financieras,4
24210,Profesionales y analistas de gestión y organización,4
24220,Profesionales en políticas sociales y de administración,4
24231,Profesionales de talento humano,4
24232,Consejeros de servicios de empleo / Consejeras de servicios de empleo,4
24241,Profesionales de formación y desarrollo de personal,4
24242,Evaluadores de competencias laborales / Evaluadoras de competencias laborales,4
24311,Profesionales en mercadeo y publicidad,4
24312,Administradores de comunidades virtuales / Administradoras de comunidades virtuales,3
24313,Profesionales en negocios internacionales,4
24320,Profesionales de relaciones públicas y comunicaciones,4
24330,Profesionales de ventas técnicas y médicas (excluyendo las TIC),4
24340,Profesionales de ventas de tecnología de la información y las comunicaciones,4
25110,Analistas de sistemas,4
25120,Desarrolladores de software / Desarrolladoras de software,4
25130,Desarrolladores Web y multimedia / Desarrolladoras Web y multimedia,4
25140,Programadores de aplicaciones / Programadoras de aplicaciones,4
25190,Desarrolladores y analistas de software y multimedia no clasificados en otras ocupaciones / Desarrolladoras y analistas de software y multimedia no clasificadas en otras ocupaciones,4
25210,Diseñadores y administradores de bases de datos / Diseñadoras y administradoras de bases de datos,4
25220,Administradores de sistemas / Administradoras de sistemas,4
25230,Profesionales en redes de computadores,4
25290,Profesionales en bases de datos y en redes de computadores no clasificados en otras ocupaciones,4
26110,Abogados / Abogadas,4
26120,Jueces / Juezas,4
26191,Profesionales en ciencias forenses,4
26199,Profesionales en derecho no clasificados en otras ocupaciones,4
26211,Archivistas,4
26212,Curadores de artes visuales y plásticas y de patrimonio cultural / Curadoras de artes visuales y plásticas y de patrimonio cultural,4
26213,Curadores y supervisores musicales / Curadoras y supervisoras musicales,3
26214,Museólogos y museógrafos / Museólogas y museógrafas,4
26215,Restauradores y conservadores de patrimonio cultural mueble / Restauradoras y conservadoras de patrimonio cultural mueble,4
26216,Restauradores y conservadores de patrimonio cultural construido / Restauradoras y conservadoras de patrimonio cultural construido,4
26219,"Otros archivistas, curadores de arte y restauradores no clasificados en otras ocupaciones / Otras archivistas, curadoras de arte y restauradoras no clasificadas en otras ocupaciones",4
26220,"Bibliotecólogos, documentalistas y afines / Bibliotecólogas, documentalistas y afines",4
26310,Economistas,4
26320,"Sociólogos, antropólogos y afines / Sociólogas, antropólogas y afines",4
26330,"Filósofos, historiadores y especialistas en ciencias políticas / Filósofas, historiadoras y especialistas en ciencias políticas",4
26340,Psicólogos / Psicólogas,3
26351,Profesionales del trabajo social y consejeros,4
26352,Gestores de recursos y donaciones / Gestoras de recursos y donaciones,4
26360,Profesionales religiosos y ministros de culto / Profesionales religiosas y ministras de culto,4
26410,Autores y otros escritores / Autoras y otras escritoras,4
26421,Periodistas,4
26422,Editores y redactores / Editoras y redactoras,4
26431,"Traductores, intérpretes y lingüistas / Traductoras, intérpretes y lingüistas",4
26432,Traductores e intérpretes de lenguas nativas / Traductoras e intérpretes de lenguas nativas,4
26433,Intérpretes de lengua de señas,3
26434,Guías-intérpretes,3
26511,Artistas plásticos y visuales / Artistas plásticas y visuales,4
26512,Ilustradores artísticos / Ilustradoras artísticas,3
26521,Intérpretes musicales,4
26522,Directores e investigadores musicales / Directoras e investigadoras musicales,4
26523,Autores y compositores musicales / Autoras y compositoras musicales,4
26524,Ejecutantes musicales,2
26531,Compositores coreográficos e intérpretes de danza / Compositoras coreográficas e intérpretes de danza,4
26532,Bailarines y otros ejecutantes de la danza / Bailarinas y otras ejecutantes de la danza,3
26541,"Productores, directores y editores de cine, teatro y afines / Productoras, directoras y editoras de cine, teatro y afines",4
26542,Productores de campo para las artes escénicas y audiovisuales / Productoras de campo para las artes escénicas y audiovisuales,3
26543,"Realizadores y coordinadores de las artes escénicas, audiovisuales y afines / Realizadoras y coordinadoras de las artes escénicas, audiovisuales y afines",3
26551,Actores / Actrices,4
26559,Otros actores no clasificados en otras ocupaciones / Otras actrices no clasificadas en otras ocupaciones,2
26560,"Locutores y presentadores de radio, televisión y otros medios de comunicación / Locutoras y presentadoras de radio, televisión y otros medios de comunicación",3
26591,Artistas creativos y ejecutantes de técnicas circenses / Artistas creativas y ejecutantes de técnicas circenses,3
26599,Artistas creativos e interpretativos no clasificados en otras ocupaciones / Artistas creativas e interpretativas no clasificadas en otras ocupaciones,3
31111,Técnicos en física y química / Técnicas en física y química,3
31112,Técnicos en geología / Técnicas en geología,3
31113,Técnicos en meteorología / Técnicas en meteorología,3
31114,Técnicos en metrología / Técnicas en metrología,3
31115,Auxiliares de laboratorio,2
31121,Técnicos en construcción y arquitectura / Técnicas en construcción y arquitectura,3
31122,Técnicos en topografía / Técnicas en topografía,3
31123,Técnicos en cartografía / Técnicas en cartografía,3
31130,Técnicos en electricidad / Técnicas en electricidad,3
31141,Técnicos en electrónica / Técnicas en electrónica,3
31142,Técnicos en automatización e instrumentación / Técnicas en automatización e instrumentación,3
31150,Técnicos en ingeniería mecánica / Técnicas en ingeniería mecánica,3
31160,Técnicos en química industrial / Técnicas en química industrial,3
31171,Técnicos de minas y metalurgia / Técnicas de minas y metalurgia,3
31172,Operarios de exploración geofísica y geológica / Operarias de exploración geofísica y geológica,3
31181,Delineantes y dibujantes técnicos / Delineantes y dibujantes técnicas,3
31182,Auxiliares de producción gráfica,2
31183,Graficadores de imágenes computarizadas / Graficadoras de imágenes computarizadas,3
31191,Técnicos en fabricación industrial / Técnicas en fabricación industrial,3
31199,Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones,3
31211,Supervisores de minería y canteras / Supervisoras de minería y canteras,3
31212,Supervisores de perforación y servicio a pozos de petróleo y gas / Supervisoras de perforación y servicio a pozos de petróleo y gas,3
31213,Supervisores y analistas de producción de hidrocarburos / Supervisoras y analistas de producción de hidrocarburos,3
31221,Supervisores de procesamiento de alimentos y bebidas / Supervisoras de procesamiento de alimentos y bebidas,3
31222,Supervisores de fabricación y procesamiento de productos de plástico y caucho / Supervisoras de fabricación y procesamiento de productos de plástico y caucho,3
31223,Supervisores de procesamiento de la madera y producción de pulpa y papel / Supervisoras de procesamiento de la madera y producción de pulpa y papel,3
31224,Supervisores de ensamble de vehículos de motor / Supervisoras de ensamble de vehículos de motor,3
31225,Supervisores de impresión y ocupaciones relacionadas / Supervisoras de impresión y ocupaciones relacionadas,3
31226,"Supervisores de fabricación y tratamiento de productos mecánicos, metálicos y minerales / Supervisoras de fabricación y tratamiento de productos mecánicos, metálicos y minerales",3
31227,"Supervisores de fabricación y procesamiento de productos textiles, cuero y piel / Supervisoras de fabricación y procesamiento de productos textiles, cuero y piel",3
31228,Supervisores de fabricación de productos eléctricos y electrónicos / Supervisoras de fabricación de productos eléctricos y electrónicos,3
31229,Supervisores de industrias manufactureras no clasificadas en otras ocupaciones / Supervisoras de industrias manufactureras no clasificadas en otras ocupaciones,3
31231,"Supervisores de la construcción, maestros generales de obra, instalación y reparación / Supervisoras de la construcción, maestros generales de obra, instalación y reparación",3
31232,Inspectores de sistemas e instalaciones de gas / Inspectoras de sistemas e instalaciones de gas,3
31310,Operadores de plantas de generación y distribución de energía / Operadoras de plantas de generación y distribución de energía,2
31321,Operadores de plantas de tratamiento de agua / Operadoras de plantas de tratamiento de agua,2
31322,"Operadores de incineradores, de hornos crematorios y de rellenos sanitarios / Operadoras de incineradores, de hornos crematorios y de rellenos sanitarios",2
31330,Controladores de instalaciones de procesamiento de productos químicos / Controladoras de instalaciones de procesamiento de productos químicos,3
31341,Operadores de instalaciones de refinación de petróleo y gas natural / Operadoras de instalaciones de refinación de petróleo y gas natural,3
31342,Inspectores de oleoductos y gasoductos / Inspectoras de oleoductos y gasoductos,3
31350,Controladores de procesos de producción y tratamiento de metales / Controladoras de procesos de producción y tratamiento de metales,3
31390,Técnicos en control de procesos no clasificados en otras ocupaciones / Técnicas en control de procesos no clasificados en otras ocupaciones,3
31410,Técnicos en ciencias biológicas (excluyendo la medicina) / Técnicas en ciencias biológicas (excluyendo la medicina),3
31421,Técnicos agropecuarios / Técnicas agropecuarias,3
31422,"Inspectores de productos agrícola, pecuarios y de pesca / Inspectoras de productos agrícola, pecuarios y de pesca",3
31423,Inspectores de riego agrícola / Inspectoras de riego agrícola,3
31424,Supervisores de producción agrícola / Supervisoras de producción agrícola,3
31425,Supervisores de producción pecuaria / Supervisoras de producción pecuaria,3
